actual_summary,generated_summary
the administration of union territory daman and diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of rakshabandhan on august the administration was forced to withdraw the decision within hours of issuing the circular after it received flak from employees and was slammed on social media,Generated summary confidence: 1.0
malaika arora slammed an instagram user who trolled her for divorcing a rich man and having fun with the alimony her life now is all about wearing short clothes going to gym or salon enjoying vacations the user commented malaika responded you certainly got to get your damn facts right before spewing sht on mewhen you know nothing about me,Generated summary confidence: 1.0
the indira gandhi institute of medical sciences igims in patna on thursday made corrections in its marital declaration form by changing virgin option to unmarried earlier bihar health minister defined virgin as being an unmarried woman and did not consider the term objectionable the institute however faced strong backlash for asking new recruits to declare their virginity in the form,Generated summary confidence: 1.0
lashkaretaibas kashmir commander abu dujana who was killed by security forces said kabhi hum aage kabhi aap aaj aapne pakad liya mubarak ho aapko today you caught me congratulations after being caught he added that he wont surrender and whatever is in his fate will happen to him hum nikley they shaheed hone had left home for martyrdom he added,Generated summary confidence: 1.0
hotels in maharashtra will train their staff to spot signs of sex trafficking including frequent requests for bed linen changes and do not disturb signs left on room doors for days a mobile phone app called rescue me which will allow staff to alert police of suspicious behaviour will be developed the initiative has been backed by the maharashtra government,Generated summary confidence: 1.0
a yearold man on wednesday was found hanging inside the washroom of a delhi police station after he was called for interrogation his family alleged that he could have been emotionally and physically tortured police said the man was named as a suspect in the kidnapping case of a married woman with whom he had been in a relationship earlier,Generated summary confidence: 1.0
the delhi high court reduced the compensation awarded to a motor accident victim by after it found negligence on the part of both parties a compensation of lakh was earlier awarded to the victim the court observed its possible despite the vehicle being driven in permissible limit an accident can occur when a jaywalker suddenly appears on road,Generated summary confidence: 1.0
a year old dalit woman was allegedly lynched in agra after villagers thought that she was behind the recent cases of chopping hair of sleeping women the family members of the woman who left home around am on wednesday said she pleaded that she had lost her way but they took her as one responsible for chopping women hair,Generated summary confidence: 1.0
an inquiry by the aircraft accident investigation bureau found that the pawan hans helicopter was flying at a critically low height resulting in its crash near bombay high in the report further mentioned that the instructor despite being aware of the low height didnt take control of the helicopter after the trainee pilot wasnt able to manage the situation,Generated summary confidence: 1.0
the congress party has opened a bank called state bank of tomato in uttar pradeshs lucknow in a protest against the rising prices of the vegetable people can get interests on deposits and also get vegetables on loan in the bank i have deposited kg tomatoes will get kg after months said a man,Generated summary confidence: 1.0
indias food regulator food safety and standards authority of india fssai is planning to create a network to collect leftover food and provide it to the needy it is looking to connect with organisations which can collect store and distribute leftover food from weddings and large parties it further added that all food must meet the safety and hygiene standards,Generated summary confidence: 1.0
the mother of harshit sharma the class chandigarh boy who got a hoax job offer call from google said that the incident devastated his life he got a call after which he shared the information with the school principal who sent out a press release harshit is hospitalised since google denied giving him a job his mother added,Generated summary confidence: 1.0
municipal corporation of gurugram on wednesday said that out of commercial building owners have decided to pay property tax instead of providing free parking to the public notably mcg earlier offered a property tax waiver for building basements if they were used to provide free parking however the owners allegedly said that revenues from parking profited them more,Generated summary confidence: 1.0
scientists for the first time successfully freed embryos of a piece of faulty dna that causes a fatal heart disease to run in families the disease called hypertrophic cardiomyopathy causes the heart to stop suddenly and is the result of an error in a single gene the breakthrough could lead to preventing disorders that are passed down the generations,Generated summary confidence: 1.0
a union minister of state for home affairs informed the lok sabha on wednesday that delhis residential buildings under the central public works department were found to be unsafe another buildings under the new delhi municipal council were identified as dangerous the authorities said that they conduct surveys of unsafe buildings every year and undertake required actions,Generated summary confidence: 1.0
the supreme court today refused to stay the exercise of nota none of the above option in the gujarat rajya sabha elections scheduled to take place on august the sc further said that the issue would be heard as a constitutional question whether nota would apply to election of council of states,Generated summary confidence: 1.0
tanveer hussain a yearold indian athlete from kashmir has been indicted in the us on charges of sexually abusing a minor girl during a visit to the us for a snowshoe competition an essex county jury has charged hussain with one count of firstdegree sexual abuse and two counts of endangering the welfare of a child,Generated summary confidence: 1.0
bomb squads and canine teams were rushed to check a package recovered in the cargo hold area of delhi airport on wednesday officials later declared the area safe adding the suspect item was nothing but some spare parts of company maruti its xray image had raised suspicion among airport staff,Generated summary confidence: 1.0
defending the igims marital declaration form bihar health minister mangal pandey said he checked the meaning of virgin in dictionary wherein it meant unmarried woman and he didnt find anything objectionable in it pandey added that he discussed the issue with the management who informed him that the format used was same as aiims and was being used since,Generated summary confidence: 1.0
the members of a norwegian antiimmigrant group have been trolled for mistaking a photograph of six empty bus seats for a group of women wearing burqas the post shared on the closed facebook group fedrelandet viktigst fatherland first garnered comments like get them out of our country and could be terrorists it was shared on the group as a prank,Generated summary confidence: 1.0
a newborn boy in maharashtras thane was found to be pregnant with own halfformed twin that was feeding off the boys blood supply the doctors said that it was a very rare condition called fetus in fetu with less than such cases recorded till date the doctors successfully operated to remove the cm fetus that weighed gram,Generated summary confidence: 1.0
the north delhi municipal corporation has said that the ring road and aurobindo marg near aiims and safdarjung hospitals will be declared a nohawker zone the move is aimed at streamlining traffic movement outside the hospitals so that patients doctors and ambulances coming to the medical institutes get easier access and other commuters do not face any hassle,Generated summary confidence: 1.0
over farmers from greater noida and adjoining areas protested in dadri seeking immediate release of farmers arrested on friday for stopping a passenger train and blocking movement on the delhihowrah railway track for an hour the arrested farmers had been demanding more compensation for land being acquired by the government for construction of the eastern peripheral expressway,Generated summary confidence: 1.0
investigators have released pictures showing how close an air canada flight came to crashing onto four planes at a us airport last month its pilots mistakenly descended towards a taxiway where four planes were parked instead of the runway before aborting the landing investigators said the incident came within a few feet of becoming one of the worst aviation disasters,Generated summary confidence: 1.0
two sunbathers a yearold man and an eightyearold girl were killed on wednesday when a light plane struck them while making an emergency landing at a beach in portugal the others had run into the sea to save themselves the two occupants of the plane which appeared to be in difficulty and had a partly broken left wing were unhurt,Generated summary confidence: 1.0
the saudiled coalition in yemen is blocking deliveries of jet fuel to un planes bringing humanitarian aid to the rebelheld capital sanaa un officials said aid efforts were also hampered by delays and refusals of visas by the yemeni government officials added the saudiled coalition has been involved in yemens civil war backing the yemeni government against the houthi rebels,Generated summary confidence: 1.0
the us air force on wednesday successfully launched an unarmed intercontinental ballistic missile from california the fourth such test this year the test will show the readiness and effectiveness of the weapon system officials said the launch comes amid concerns over north korea which recently tested two intercontinental ballistic missiles which it claims has the range to reach the us,Generated summary confidence: 1.0
the remains of a german hiker who disappeared while climbing in the swiss alps years ago have been found embedded in a glacier police officials said the remains were found by two people climbing the lagginhorn mountain they added recently bodies of a swiss couple who went missing years ago were found perfectly preserved in the alps,Generated summary confidence: 1.0
veteran actor dilip kumar has been admitted to lilavati hospital in mumbai following kidney complications and dehydration the doctors treating the yearold actor have said that he is stable and currently recuperating in the general ward while adding there is no cause for concern the veteran actor had also been hospitalised twice last year due to medical reasons,Generated summary confidence: 1.0
the mangrove society of india has listed mumbais two mangrove wetlands airoli and vikhroli among twelve unique mangrove forests in india the twelve locations were selected to help conserve different mangrove species and establish them as international tourism destinations officials said mangrove forests can sequester carbon times more than tropical forests they added,Generated summary confidence: 1.0
jammu and kashmir police have approached the pakistan high commission asking them to claim the body of lashkaretaiba commander abu dujana who was killed by security forces on tuesday notably this is the first time the authorities have approached the high commission asking them to claim the body of any pakistani national killed in an antimilitancy operation in the state,Generated summary confidence: 1.0
abu ismail mastermind of the amarnath yatra attack will reportedly replace abu dujana as the kashmir division chief of lashkaretaiba let dujana was killed by the security forces on tuesday after a sevenhour gunfight in south kashmirs pulwama district notably eight pilgrims were killed and were injured in the amarnath yatra attack last month,Generated summary confidence: 1.0
explaining his frequent visits to golf clubs us president donald trump told his new jersey golf club members that he spends so much time away from washington dc because the white house is a real dump according to reports notably the white house is the most expensive house in the us and is worth almost million,Generated summary confidence: 1.0
a selfstyled email prankster known as sinonreborn on twitter has fooled recentlyfired white house communications director anthony scaramucci thrice the prankster fooled scaramucci by posing as recentlyfired chief of staff reince priebus as a russian envoy and finally as one of his friends the prankster said he targeted scaramucci because he had used mental health issues as a put down,Generated summary confidence: 1.0
a ukbased doctor manish shah has been charged with sexual offences the metropolitan police said on wednesday shah has been accused of counts of assault by penetration and allegations of sexual assault police officials added he has also been charged with one count of sexual assault on a child under,Generated summary confidence: 1.0
us president donald trumps campaign could not have colluded with russia because the team was too dysfunctional and disorganised to coordinate with a foreign government the presidents soninlaw and senior adviser jared kushner has claimed notably kushner had acknowledged four meetings with russians during and after trumps presidential bid and insisted that he had nothing to hide,Generated summary confidence: 1.0
a woman lawmaker of pakistan tehreekeinsaf pti party ayesha gulalai has accused party leader imran khan of harassing women leaders in the party and sending them obscene text messages my integrity matters to me the most and i cannot compromise when it comes to my honour and dignity gulalai said announcing her resignation from the party,Generated summary confidence: 1.0
