actual_summary,generated_summary
the administration of union territory daman and diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of rakshabandhan on august the administration was forced to withdraw the decision within hours of issuing the circular after it received flak from employees and was slammed on social media,the daman and diu administration on wednesday withdrew a circular that asked women staff to tie rakhis on male colleagues after the order triggered a backlash from employees and was ripped apart on social mediathe union territorys administration was forced to retreat within hours of issuing the circular that made it compulsory for its staff to celebrate rakshabandhan at workplaceit has been decided to celebrate the festival of rakshabandhan on august in this connection all offices departments shall remain open and celebrate the festival collectively at a suitable time wherein all the lady staff shall tie rakhis to their colleagues the order issued on august by gurpreet singh deputy secretary personnel had saidto ensure that no one skipped office an attendance report was to be sent to the government the next eveningthe two notifications one mandating the celebration of rakshabandhan left and the other withdrawing the mandate right were issued by the daman and diu administration a day apart the circular was withdrawn through a oneline order issued late in the evening by the uts department of personnel and administrative reformsthe circular is ridiculous there are sensitivities involved how can the government dictate who i should tie rakhi to we should maintain the professionalism of a workplace an official told hindustan times earlier in the day she refused to be identifiedthe notice was issued on daman and diu administrator and former gujarat home minister praful kodabhai patels direction sources saidrakshabandhan a celebration of the bond between brothers and sisters is one of several hindu festivities and rituals that are no longer confined of private family affairs but have become tools to push politic al ideologiesin the year bjp stormed to power at the centre rashtriya swayamsevak sangh rss chief mohan bhagwat said the festival had national significance and should be celebrated widely to protect hindu culture and live by the values enshrined in it the rss is the ideological parent of the ruling bjplast year women ministers in the modi government went to the border areas to celebrate the festival with soldiers a year before all cabinet ministers were asked to go to their constituencies for the festival
malaika arora slammed an instagram user who trolled her for divorcing a rich man and having fun with the alimony her life now is all about wearing short clothes going to gym or salon enjoying vacations the user commented malaika responded you certainly got to get your damn facts right before spewing sht on mewhen you know nothing about me,from her special numbers to tvappearances bollywood actor malaika arora khan has managed to carve her own identity the actor who made her debut in the hindi film industry with the blockbuster debut opposite shah rukh khan in chaiyya chaiyya from dil se is still remembered for the song however for trolls she is a woman first and what matters right now is that she divorced a rich man on wednesday malaika arora shared a gorgeous picture of herself on instagram and a follower decided to troll her for using her alumni read alimony money to wear short clothes and going to gym or salon little did heshe know that the munni badnam star would reply with the perfect comeback take a look at the interaction super excited to be affiliated with khanna jewellers khannajewellerskj as their brand ambassador crafted to perfection their stunning statement jewellery is a must have for every jewellery lover khannajewellersmaksquad hair hairbypriyanka stylist manekaharisinghani manager ektakauroberoi mua subbu photographer prasdnaik a post shared by malaika arora khan malaikaarorakhanofficial on aug at am pdt then malaika decided to reply the entire conversation only proves that no matter if a woman is successful she will be attacked the moment she decides to step out of bounds the society decided for her apart from being a successful woman who lives life on her own terms malaika has literally played all the roles traditionally prescribed for a woman she married quite early had a son and raised him and was always around with the khandan but then she got divorced and alimony is the taunt being thrown at her the details of the alimony are only known to malaika her husband arbaaz khan and perhaps the family the couple has handled the divorce with the utmost dignity but we can vouch for the fact that she did not need an alimony to buy clothes short or not her choice go on vacations and enjoy her life if anything she is as successful if not more than her exhusbandwhat happened between arbaaz and malaika is their personal concern but to claim that malaika married and then divorced arbaaz for money doesnt hold water for those who do not agree please get a course in feminism and for others heres a playlist of some of her most popular songs follow htshowbiz for more
the indira gandhi institute of medical sciences igims in patna on thursday made corrections in its marital declaration form by changing virgin option to unmarried earlier bihar health minister defined virgin as being an unmarried woman and did not consider the term objectionable the institute however faced strong backlash for asking new recruits to declare their virginity in the form,the indira gandhi institute of medical sciences igims in patna amended its marital declaration form on thursday replacing the word virgin with unmarried after controversyuntil now new recruits to the superspecialty medical institute in the state capital were required to declare if they were bachelors widowers or virginsigims medical superintendent dr manish mandal said institute director dr nr biswas held a meeting on thursday morning before directing that the word virgin on the marital declaration form be immediately replaced with unmarried dr biswas had just returned after a fourday leave of absenceearlier bihar health minister mangal pandey had ended up redefining the very meaning of virginity in his attempts to justify the awkward phrasing of the question in the form following a public furore over the document on wednesday the minister told news channels that there was nothing wrong with using the word virgin because it simply meant kanya or kunwari which means an unmarried girlpandey had joined the cabinet just three days agosources said the chief ministers office had also taken cognizance of the issue and asked for a copy of the form it had even asked why the question was introduced in the first placein its response the management of the autonomous superspecialty health facility had clarified on wednesday that it was in adherence to the central civil services rules followed by the all india institute of medical sciences in new delhithe previous version of the marital declaration form which purportedly asked new recruits if they were virgins ht photo the marital declaration form had been in existence since the inception of the institute in some officials blamed the faux pas on poor translation on the part of individuals who drafted the documentthe word virgin mentioned on the form had nothing to do with the virginity of any employee it only sought to know the employees marital status so their dues could be settled on the basis of their declaration in the event of death while in service said dr mandal
lashkaretaibas kashmir commander abu dujana who was killed by security forces said kabhi hum aage kabhi aap aaj aapne pakad liya mubarak ho aapko today you caught me congratulations after being caught he added that he wont surrender and whatever is in his fate will happen to him hum nikley they shaheed hone had left home for martyrdom he added,lashkaretaibas kashmir commander abu dujana was killed in an encounter in a village in pulwama district of jammu and kashmir earlier this week dujana who had managed to give the security forces a slip several times in the past carried a bounty of rs lakh on his headreports say that dujana had come to meet his wife when he was trapped inside a house in hakripora village security officials involved in the encounter tried their best to convince dujana to surrender but he refused reports sayaccording to reports dujana rejected call for surrender from an army officer the army had commissioned a local to start a telephonic conversation with dujana after initiating the talk the local villager handed over the phone to the army officerkya haal hai maine kaha kya haal hai how are you i asked how are you dujana is heard asking the officer the officer replies humara haal chhor dujana surrender kyun nahi kar deta tu galat kar rha hai why dont you surrender you have married this girl what you are doing isnt rightwhen told that he is being used by pakistani agencies as a pawn dujana who sounded calm and unperturbed of the situation said hum nikley they shaheed hone main kya karu jisko game khelna hai khelo kabhi hum aage kabhi aap aaj aapne pakad liya mubarak ho aapko jisko jo karna hai karlo i had left home for martyrdom what can i do today you caught me congratulations surrender nahi kar sakta jo meri kismat may likha hoga allah wahi karega theek hai i wont surrender allaah would do whatever is there in my fate dujana went on to say dujana who belonged to pakistan was lashkaretaibas divisional commander in south kashmir he was among the top terrorists identified by the indian army in jammu and kashmirwith a rs lakh bounty on his head dujana was labelled an a terrorist the top grade which was also given to burhan wanisecurity forces received inputs that during the last few days he was frequenting the houses of his wife rukaiya and girlfriend shazia police was keeping a watch on both the houses when it was confirmed he was present in his wifes house security forces moved in to trap himalso readafter abu dujana security forces prepare new hitlist of most wanted terroristsabu dujana encounter jilted lover turned police informer led security forces to let commander
hotels in maharashtra will train their staff to spot signs of sex trafficking including frequent requests for bed linen changes and do not disturb signs left on room doors for days a mobile phone app called rescue me which will allow staff to alert police of suspicious behaviour will be developed the initiative has been backed by the maharashtra government,hotels in mumbai and other indian cities are to train their staff to spot signs of sex trafficking such as frequent requests for bed linen changes or a do not disturb sign left on the door for days on end the group behind the initiative is also developing a mobile phone app rescue me which hotel staff can use to alert local police and senior antitrafficking officers if they see suspicious behavior hotels are breeding grounds for human trade said sanee awsarmmel chairman of the alumni group of maharashtra state institute of hotel management and catering technology we have hospitality professionals working in hotels across the country we are committed to this causethe initiative spearheaded by the alumni group and backed by the maharashtra state government comes amid growing international recognition that hotels have a key role to play in fighting modern day slavery maharashtra major destination for trafficked girls maharashtra of which mumbai is the capital is a major destination for trafficked girls who are lured from poor states and nearby countries on the promise of jobs but then sold into the sex trade or domestic servitude with rising property prices some traditional red light districts like those in mumbai have started to disappear pushing the sex trade underground into private lodges and hotels which makes it hard for police to monitorawsarmmel said hotels would be told about signs that staff needed to watch out forthese include requests for rooms with a view of the car park which are favored by traffickers as they allow them to vet clients for signs of trouble and check out their cars to gauge how much to chargeawsarmmel said hotel staff often noticed strange behavior such as a girls reticence during the checkin process or her dependence on the person accompanying her to answer questions and provide her proof of identitybut in most cases staff ignore these signs or have no idea what to do he told the thomson reuters foundationrescue me app the rescue me app to be launched in a couple of months will have a text feature where hotel staff can fill in details including room numbers to send an alert to policehuman trafficking is the worlds fastest growing criminal enterprise worth an estimated billion a year according to the international labor organization which says nearly million people globally are victims of forced labor and traffickinglast year major hotel groups including the hilton and shiva hotels pledged to examine their supply chains for forced labor and train staff how to spot and report signs of traffickingearlier this year mexico city also launched an initiative to train hotel staff about traffickingvijaya rahatkar chairwoman of the maharashtra state womens commission said the initiative would have an impact beyond the state as the alumni group had contact with about a million small hotels across indiathe group is also developing a training module on trafficking for hotel staff and hospitality students which could be used across the countryalso readfyi legal revenge child sex trafficking survivors get school of justice to fight their own battlesmumbai woman dj arrested in highprofile sex racket case
a yearold man on wednesday was found hanging inside the washroom of a delhi police station after he was called for interrogation his family alleged that he could have been emotionally and physically tortured police said the man was named as a suspect in the kidnapping case of a married woman with whom he had been in a relationship earlier,an alleged suspect in a kidnapping case was found hanging inside the washroom of the jahangirpuri police station in north delhi on wednesday hours after he was called by the cops for interrogationthe police claimed it was an unprovoked suicide and denied use of force an internal inquiry as well as a magisterial probe is in process police said the relatives of the deceased suspect foul play in the deaththe dead man is yearold raj kumar a native of kasganj in up kumar was unmarried and worked as a security guard at a government school in pitampura till a few months agoduring his stint at that school he entered into a relationship with a married woman who worked as a peon their relationship ended a few months ago and kumar quit the job and returned to his village said a police officerthe woman went missing a few months ago prompting her husband to file a police complaint and a habeas corpus petition at the delhi high courtthe womans husband suspected fivesix persons kumar was one of them said the officer a team was sent to kumars village but when he was found unavailable he was instructed to report to the jahangirpuri police stationkumar was confident he had no role in the womans disappearance he willingly arrived in delhi on tuesday and visited the police station said kumars friend dharmendra who dropped him at the police station around pmciting the magisterial enquiry the police refused to share either the sequence of events or the circumstances leading to his death but kumars relatives quoted investigators as saying he was let off around pmthe investigating officer told me my uncle was allowed to go at pm the same officer tells me the suicide happened at am over three hours later said kumars nephew ankit pachauripachauri and other family members suspected that kumar could have been physically and emotionally tortured because of which he killed himselfa request for postmortem by a board of doctors is being made all mandatory actions are being taken said vijayanta arya additional dcp northwest she said neither was kumar arrested nor did any evidence of his involvement in the womans disappearance emerge in tuesdays questioning
the delhi high court reduced the compensation awarded to a motor accident victim by after it found negligence on the part of both parties a compensation of lakh was earlier awarded to the victim the court observed its possible despite the vehicle being driven in permissible limit an accident can occur when a jaywalker suddenly appears on road,in an interesting ruling the delhi high court reduced the compensation awarded to a motor accident victim by per cent after it found negligence on the part of both the partiesdeepak kumar the victim was hit by a motor vehicle driven by a government employee named ajay kumar in palamdeepak told the court that while he was on his way to work he stopped his vehicle after crossing palam flyover to feed a cow while he was crossing the road he was hit and suffered injuries the trial court had awarded a compensation of rs lakh to him after ruling negligence on ajays partajay challenged the trial court order based on the detailed accident report that mentioned motorcycle was not being driven dangerously or at an excessive speed and was being driven in its lane and within the permissible speed limithe sought examination of the contributory negligence on behalf of the injured through advocate trideep pais and pranav jain the court observed it is possible that despite the vehicle being driven in permissible limit an accident can occur when a jaywalker suddenly appears on the roadsuch people apart from impairing their own lives also pose a threat to the safety and security of the ongoing traffic the fact that the victim chose to walk across a busy road near the airport with heavy morning traffic he knowingly exposed himself to dangers that such risk may entail it exhibits his negligence towards his own safety the court addedquoting the detailed accident report the court said if the vehicle was in good condition being driven in the right lane at the right speed the accident which was caused at a nonzebra crossing could be attributed to the sudden appearance of the jaywalker in front of the vehiclein the circumstances a portion of the blame and negligence would have to be shared by the claimant while noting that there was a fair chance of the accident being avoided if the vehicle was being driven at the permissible limit and maintaining fair distance with the vehicle moving ahead of it the court said one has also to bear in mind that not all city roads are carefully marked for pedestrian or zebra crossingthe time of the accident was about am the visibility was clear the appellant could have well seen from some distance the movement of the pedestrian crossing the road the court added
a year old dalit woman was allegedly lynched in agra after villagers thought that she was behind the recent cases of chopping hair of sleeping women the family members of the woman who left home around am on wednesday said she pleaded that she had lost her way but they took her as one responsible for chopping women hair,a year old dalit woman was allegedly lynched in agra after villagers thought she was out to cut the hair of sleeping women the first reported fatality of what appears to be turning into a case of mass hysteriagrowing number of people particularly in rural districts of haryana rajasthan delhi uttar pradesh and madhya pradesh have reported mysterious instances of sleeping women being attacked and their hair chopped off short family members said maan devi left the home around am on wednesday but lost her way reaching a predominantly upper caste neighbourhood where people spotted her she pleaded that she had lost her way but they took as one responsible for chopping women hair in mutnai village and killed her said the victims daughterinlaw kalpana jatavlocal police first denied the death was connected to the ghost barber panic deputy superintendent of police dsp fatehabad dr tej veer singh said a case was registered including charges relating to atrocities against dalits and teams were keeping a vigil in the area where the woman was killed the police also appeared to deny that the woman was beaten to death the postmortem report of maan devi indicates she died of cardiac arrest and not due to beating singh said devis son has named two suspects both from the upper caste baghel community in his complaint where he also said that his mothers body had been thrown back in their village till thursday neither was arrestedagra and villages in districts nearby were the latest to report the haircutting mystery that seems to be spreading since first being recorded in parts of the national capital region last week officials said on friday that more sightings were reported from the region and the states inspector general issued an appeal for people to remain calmwomen in at least five states have reported waking up to the sound of scissors spotting black cats and seeing ghosts and shadows some claimed they found portions of their hair chopped off and others reported falling unconscious with fearpolice have dismissed the allegations as rumours in several of these cases and administration officials are now issuing alerts for local law enforcement to tackle fear mongering from monkey man to ufosparts of india particularly rural districts where superstitious beliefs are common have often been at the centre of mass hysteria events in the summer of people in delhi said they had spotted a mysterious monkeylike creature that appeared in the night and attacked people large colonies of the capital were gripped by fear as more and more bizarre sightings were recorded vigilante groups patrolled the streets with sticks for weeks before officials and psychiatric experts said the panic was created by figments of peoples imagination that was made worse by the media coverage at the timea year later people in eastern uttar pradesh reported spotting a lightemitting flying object that would attack them at night and scratch their face many referred to it as the muhnochwa a bhojpuri amalgam that loosely translates to face snatcher at the height of the panic people went off streets after sundown scientists from iit kanpur were roped in to investigate the event and the ruled out the existence of the creature the closest explanation they said could have been sightings of ball lightening a rare meteorological phenomenon years earlier in a more innocuous mass delusion took place when people across the country reported seeing idols of the hindu god ganesha drinking milk
an inquiry by the aircraft accident investigation bureau found that the pawan hans helicopter was flying at a critically low height resulting in its crash near bombay high in the report further mentioned that the instructor despite being aware of the low height didnt take control of the helicopter after the trainee pilot wasnt able to manage the situation,two years after a helicopter crash near the bombay high offshore oil field killed two pilots an inquiry by the air accident investigation bureau aaib found that the chopper was flying at a critically low height without the pilots realising it the pawan hans helicopter was on a training sortie on the evening of november aviation regulator director general of civil aviation dgca had asked aaibto conduct an inquiry the inquiry report which was made public on wednesday said that the main pilot was flying low and that the other did not realise it after taking off the rontappmeyer rytyr helicopter may have faced difficulties as the moon was waning the report said the report mentioned that the instructor captain e samuel wasnt disoriented and was aware of the low height of the helicopter he alerted captain tk guha a little late but even after realising that guha wasnt able to manage the situation samuel did not take control of the helicopteraaib recommended that ongc which owns bombay high along with the helicopter operators identify helidecks from where night flying can take place aaib also said that pawan hans pilots need to rest sufficiently before flying guha was flying during the night after a gap of almost a year read the report readpawan hans chopper crash both pilots on board still missingwatch maharashtra cms helicopter crashlands devendra fadnavis safe
the congress party has opened a bank called state bank of tomato in uttar pradeshs lucknow in a protest against the rising prices of the vegetable people can get interests on deposits and also get vegetables on loan in the bank i have deposited kg tomatoes will get kg after months said a man,it sounds like satire but make no mistake at a time when tomatoes have become forbiddingly pricey the congress party has opened a state bank of tomato in uttar pradeshs capital ani reported on wednesdaythis extraordinary development comes days after indore wholesalers leery of tomato thieves requested and got security cover for their stock according to news reports heavy rains in tomatogrowing states have destroyed crop and affected transportation a choke on supply which the goods and services tax regime could have possibly exacerbated lucknow up in a unique protest against the rising prices of the tomatoes congress opens bank called state bank of tomato pictwittercomlnpaaexgmuin fact denizens of major cities have had to dish out rs or more for a kilogram of the kitchen staplenevertheless an official at the indian council for agricultural research has said he expects supplies from southern states to drive down prices in the next couple of weeksfor the time being lucknow residents can obtain interest on deposits at the congress state bank of tomato and take the vegetables out on loan just like money in an actual bank ani reported i have deposited kg tomatoes will get kg after months im yearold never thought have to see this srikrishna verma customer pictwittercomplxdnsygvk and if they want to keep their red gold out of the reach of covetous hands they neednt worry the news agency reports that state bank of tomato provides lockers toowith inputs from agencies
